id,input,output
nikluge-au-2022-train-000084,과 그 시 들이다 그 들 거짓 조작 그리고 허위 적 말 통계 속 아주 개돼지 보고 얼마나 통쾌하다 하다 쉬다 없이 갖다 놀다 있다,1
nikluge-au-2022-train-000085,자유 은 속 았 속 았 종북 빨갱이 들 의하다 속 있다,1
nikluge-au-2022-train-000086,그냥 자폭 하다 하다,1
nikluge-au-2022-train-000087,나라 종북 빨갱이 들다 의하다 망하다 가다 태극기 들다 거리 나오다 투쟁 하다 것 삶 일부 이다,1
nikluge-au-2022-train-000088,이미 종북 빨갱이 들 장악 되다 방송 너무하다,1
nikluge-au-2022-train-000089,이미 종북 빨갱이 들 장악 되다 방송 너무하다,1
nikluge-au-2022-train-000090,종북 빨갱이 들 전쟁 나다 지다 새끼 들 안 챙기다 빨갱이 완장 챙기다 놈 들이다,1
nikluge-au-2022-train-000091,종북 빨갱이 들 전쟁 나다 지다 새끼 들 안 챙기다 빨갱이 완장 챙기다 놈 들이다,1
nikluge-au-2022-train-000092,가다 이제 서서히 골로 가다,1
nikluge-au-2022-train-000093,이 이제 서서히 골로 가다,1
nikluge-au-2022-train-000094,피 죽도 못 얻다 먹다 피골 상접 빨갱이 들 정부 각 기관 수장 임명 되다 보다 완전 남한 내의 공산 화가 이 룩 되다 것 같다,1
nikluge-au-2022-train-000095,피 죽도 못 얻다 먹다 피골 상접 빨갱이 들 정부 각 기관 수장 임명 되다 보다 완전 남한 내의 공산 화가 이 룩 되다 것 같다,1
nikluge-au-2022-train-000096,지속 적 판 깨다 사라지다 문벌 구 지지도,1
nikluge-au-2022-train-000097,칠 푼,1
nikluge-au-2022-train-000098,세계 인정 하다 칠 푼 부부,1
nikluge-au-2022-train-000099,칠 떡,1
nikluge-au-2022-train-000100,세계 인정 하다 칠 푼 부부,1
nikluge-au-2022-train-000101,이 나라 종북 빨갱이 들 난도질 분탕 칠 수록 님 애국심 공적 그리고 결백 함 더 빛 나다,1
nikluge-au-2022-train-000102,이 나라 종북 빨갱이 들 난도질 분탕 칠 수록 님 애국심 공적 그리고 결백 함 더 빛 나다,1
nikluge-au-2022-train-000103,곧 배 가르다 자결 하다 하다 족속 들,1
nikluge-au-2022-train-000104,곧 과 똘마니들 척 결과 제거 이루어지다 것,1
nikluge-au-2022-train-000105,외국 투자자 들 15조 매도 눈 까딱 않다 종북 빨갱이 들 배짱 두둑하다,1
nikluge-au-2022-train-000106,곧 문과 똘마니들 척 결과 제거 이루어지다 것,1
nikluge-au-2022-train-000107,종북 빨갱이 들 필수 조건,1
nikluge-au-2022-train-000108,종북 빨갱이 들 필수 조건,1
nikluge-au-2022-train-000109,가짜 운동권,1
nikluge-au-2022-train-000110,가짜 인권 변호사,1
nikluge-au-2022-train-000111,살리다 아,1
nikluge-au-2022-train-000112,비서실 장인 은 석유 수입 대신 북한 석탄 수입 하다 연료 대체 하다,1
nikluge-au-2022-train-000113,종북 빨갱이 들 손잡다 석탄 밀수업자 들 놓다 되다,1
nikluge-au-2022-train-000114,대한민국 출세 하다 참여연대 일등,1
nikluge-au-2022-train-000115,지 힘 일해 돈 벌다 보다 못 하다 하다 짓 마다 뻘짓,1
nikluge-au-2022-train-000116,그 뻘짓 국민 재산 다 날아가다 생겻,1
nikluge-au-2022-train-000117,촛불 보수 자폭 당,1
nikluge-au-2022-train-000118,국개 들 지금 탄핵 잘 못 되어다 고백 전부 삭발 국회 대가리 치다 박아,1
nikluge-au-2022-train-000119,국개 들 지금 탄핵 잘 못 되어다 고백 전부 삭발 국회 대가리 치다 박아,1
nikluge-au-2022-train-000120,종북 정당,1
nikluge-au-2022-train-000121,종북 정당,1
nikluge-au-2022-train-000122,연합 기사 꼬,1
nikluge-au-2022-train-000123,돼지 쓰레기 정치 다 기어 나오다,1
nikluge-au-2022-train-000124,자폭 하 자폭 당,1
nikluge-au-2022-train-000125,돼지 쓰레기 정치 다 기어 나오다,1
nikluge-au-2022-train-000126,부역 자 들,1
nikluge-au-2022-train-000127,그렇다 반중 뭔 지 니 들 빨 있다 시범 한번 보이 해보다,1
nikluge-au-2022-train-000128,허튼 무식하다 들이다 신념 가지 안되다,1
nikluge-au-2022-train-000129,쓰레기 같다 인간 들,1
nikluge-au-2022-train-000130,아니다 오히려 선원 책임 뜨다 넘기다 가식 적 인간 들,1
nikluge-au-2022-train-000131,나라 북한 교묘하다 갖다 바치다 애쓰다 것 들 말,1
nikluge-au-2022-train-000132,단디 아시 모 지리 들,1
nikluge-au-2022-train-000133,가다 카메라 앞 뻔 뻔하다 모습 국민 속이다 하다 그로 인하다 오히려 훤히 드러나다 건 좌파 들 전형 적 특성 양심 부다,1
nikluge-au-2022-train-000134,가다 카메라 앞 뻔 뻔하다 모습 국민 속이다 하다 그로 인하다 오히려 훤히 드러나다 건 좌파 들 전형 적 특성 양심 부다,1
nikluge-au-2022-train-000135,국민 들 합법 적 양 아치 현 가짜 정권 노예 아니다,1
nikluge-au-2022-train-000136,이 병원 시찰 나가다,1
nikluge-au-2022-train-000137,대통령 만세,1
nikluge-au-2022-train-000138,그런데 환자 하나 증오 하다 표정 노려보다 있다,1
nikluge-au-2022-train-000139,이 병원 장 물다,1
nikluge-au-2022-train-000140,또 그 남다 돈 표심 관리 선심 쓰다 척 하다 제발 스스로 좋다 말로 하다 때 내려오다 악마 같다 종북 양 아치 들 새 뀌 들,1
nikluge-au-2022-train-000141,이 개보 못 배은망덕하다 천벌 받다 자숙들,1
nikluge-au-2022-train-000142,내 로남불,1
nikluge-au-2022-train-000143,이렇다 수준 차이,1
nikluge-au-2022-train-000144,대통령 각하 몇 명 죽이다,1
nikluge-au-2022-train-000145,한국 좌파 들 대체로 존경 그 벌이다 문화 대혁명 이란 광란 학살 극 좋다 평가 하다,1
nikluge-au-2022-train-000146,도 이렇다 좌파 적 갖다 있다 이 확실하다,1
nikluge-au-2022-train-000147,약 먹다,1
nikluge-au-2022-train-000148,아 풀다 사치,0
nikluge-au-2022-train-000149,저 중학생 얼굴 하다 진지 충 이다 이제 누구 적당하다 귀엽다 굴 수 있다 되어다 네 여,1
nikluge-au-2022-train-000150,자주 만나다 대형견 멀리 바라다 보다 멋지다 개 우리 호야,0
nikluge-au-2022-train-000151,요즘 솔직하다 수제 수제 타령 하다 손 만들다 발 만드,1
nikluge-au-2022-train-000152,이르다 귀가,0
nikluge-au-2022-train-000153,동네 게으르다 누나,0
nikluge-au-2022-train-000154,요즘 여성호르몬 원활하다 공급 위해 체지방 량 2122 맞추다 열심히 먹다 중 이다,0
nikluge-au-2022-train-000155,이렇게 조금씩 잉여 열량 쟁 두 면서 소모 하다 건강하다 증량 되다 것 같다,0
nikluge-au-2022-train-000156,통풍 다이어터 다이어트 운동 녀 운동 하다 여자 52 키 감량 녀 다이어트 종결자 인간 개조,0
nikluge-au-2022-train-000157,두번째 신세계,0
nikluge-au-2022-train-000158,울산 삼 호 맛집 왕 맛있다,0
nikluge-au-2022-train-000159,흐미 치다,0
nikluge-au-2022-train-000160,그 유명하다,0
nikluge-au-2022-train-000161,제 한번 먹다 보다,0
nikluge-au-2022-train-000162,청춘 부르다 스,0
nikluge-au-2022-train-000163,닭도리탕,0
nikluge-au-2022-train-000164,막창 막창 소금 구이 왕십리 곱창 먹다 스타 그램 맛집,0
nikluge-au-2022-train-000165,남자 다 그렇다 지모,1
nikluge-au-2022-train-000166,추다 걸 어떡하다,0
nikluge-au-2022-train-000167,물론 초동 대응 안 견찰련놈글 욕 치다 먹다 싸다 말,1
nikluge-au-2022-train-000168,꼴 조 오타,1
nikluge-au-2022-train-000169,헬조센 버닝썬 죽창 헬 스타 그램,1
nikluge-au-2022-train-000170,애 미가 계란후라이 비엔나 소시지 굽다 거기 김치 찢다 올리다 밥 숟가락 올려주다 그거 맛 나다 치다 먹다 니 들 꼴리다 살 수 있다 줄 알다,1
nikluge-au-2022-train-000171,나치 아니다,1
nikluge-au-2022-train-000172,그렇다 나치 것,1
nikluge-au-2022-train-000173,그 자다 나치,1
nikluge-au-2022-train-000174,무인 가야 되다 톡소 먹음,0
nikluge-au-2022-train-000175,홍대 홍대 맛집 맛집 곱창 삼겹살 우삼겹 목 살다 먹다 스타 그램,0
nikluge-au-2022-train-000176,티라미슈 아아,0
nikluge-au-2022-train-000177,지다 혼자 다 ㅊ 먹음,1
nikluge-au-2022-train-000178,이렇다 말 좀 그렇지만,0
nikluge-au-2022-train-000179,저 고기 사기 위해 오후 일정 포기 한 시간 반 달다 식료품점 다녀오다,0
nikluge-au-2022-train-000180,시코쿠 히 가시 씓록 열도 투어,0
nikluge-au-2022-train-000181,가끔 페미니스트 들 너무 상식 어긋나다 불합리 여 성차별 대해 이야기 하다 때 역시 여혐 탈출 지능 순이 말 하다,1
nikluge-au-2022-train-000182,한남 민국,1
nikluge-au-2022-train-000183,피해자 멀쩡하다 보이 거 보다 저뇬 꽃뱀 이 쟈 나하 의심 하다 보다,1
nikluge-au-2022-train-000184,한남 공무원 답 다 다 워,1
nikluge-au-2022-train-000185,여자 들 수만 명 모이다 그만 찍다 목 터지다 소리 지르다 머리 밀다 페미 정신병 취급 하다,1
nikluge-au-2022-train-000186,구청 직원 경찰 국회의원 교수 학원 강사 동네 하다 방 탱 이도 학교 선생 너 하다 것 없이 한남 짓 하다 다니다,1
nikluge-au-2022-train-000187,이 편견 뿌리 박히다 남자 들 그 영역 여자 들 들어오다 그 여자 들 동료 보다 아니다 쉽다 일만 하다 피빨 먹다 기생충 취급 하다,1
nikluge-au-2022-train-000188,그만 쿵쾅거리다,1
nikluge-au-2022-train-000189,아오 띨빡,1
nikluge-au-2022-train-000190,빻아 너무 빻았 전형 적 이어도 너무 전형 적 성범죄자 들 특징,1
nikluge-au-2022-train-000191,키친 이드 영 입 이후 살이 도로 다 찌다 다시 다이어트 모드 돌입 하다 하다 이건 한번 더 해 먹다,0
nikluge-au-2022-train-000192,chouquette foodporn baking chocolate 슈케트 베이 킹 홈 베이 킹,0
nikluge-au-2022-train-000193,이 놈 남편 본인 사진 건지다 찍다 않다,1
nikluge-au-2022-train-000194,공 청 달다 댄싱 커버 하오고개,0
nikluge-au-2022-train-000195,나 인제 자덕 그만하다,0
nikluge-au-2022-train-000196,그만하다,0
nikluge-au-2022-train-000197,김 라라 랜드,0
nikluge-au-2022-train-000198,라라 함께 하다 오키나와 여행,0
nikluge-au-2022-train-000199,사탕 아니다,0
nikluge-au-2022-train-000200,틴트,0
nikluge-au-2022-train-000201,냥 스타 그램,0
nikluge-au-2022-train-000202,태국 그래도 영어 바디랭기지 대충 말 통 하다 벳남 리얼 먹통 깔다 따다 삐 어,1
nikluge-au-2022-train-000203,확장 이전 하다 소리 여의도 개돼지 초대 받다 출격,1
nikluge-au-2022-train-000204,고작 2년 전인데 초창 기 사 진보 이렇게 구리다 있다,1
nikluge-au-2022-train-000205,진짜 이쯤 되다 그냥 대가리 놓다 다니다 더 나다,1
nikluge-au-2022-train-000206,핏짜 앤 맥듀,0
nikluge-au-2022-train-000207,picoftheday photooftheday colors bestplace 강릉 맥주 beer 술 스타 그램 먹다 스타 그램 foodie food,0
nikluge-au-2022-train-000208,남자 선생님 문 세다 처음 극혐,1
nikluge-au-2022-train-000209,앞 구르다 하다 보고 파다 극혐,1
nikluge-au-2022-train-000210,특히 직화 불 족발 이 진심 대박,0
nikluge-au-2022-train-000211,특히 저 양념,0
nikluge-au-2022-train-000212,맛있다 맵다 중독 성 최고,0
nikluge-au-2022-train-000213,오늘 점심 맵다 닭갈비,0
nikluge-au-2022-train-000214,옆 넘기다 보글보글 닭갈비 끓다 영상,0
nikluge-au-2022-train-000215,후식 달다 구리 필수,0
nikluge-au-2022-train-000216,전도 하다 약 쟁이 아줌마 길 전도 하다 아줌마 들 빼다 박다,1
nikluge-au-2022-train-000217,초당 순 두 부집 도토리묵 대하 신성하다 자세,0
nikluge-au-2022-train-000218,친구 피치항공 피치 못 하다 때 타다 하다,0
nikluge-au-2022-train-000219,무시 하다 리얼 이다,0
nikluge-au-2022-train-000220,오사카 osaka 여행 스타 그램 우정 여행 도쿄 여행 아리 기 또고 자 이 마스 일 알다 약간 두렵다 하지만 괜찮다 나 다정 이 지우 사실 셋 다 영 중과,0
nikluge-au-2022-train-000221,생전 처음 보다 오픽,0
nikluge-au-2022-train-000222,멘붕 나오다 뜻밖 AL,0
nikluge-au-2022-train-000223,자랑 스타 그램 초심자 행운 englishtest opic speaking,0
nikluge-au-2022-train-000224,바보 하다 때 표정,1
nikluge-au-2022-train-000225,지금 크다 지다 번째 다시 보다 중,0
nikluge-au-2022-train-000226,초점 나가다 것 너무 오랜 만 짠맛 재회 하다 때뮨,0
nikluge-au-2022-train-000227,죽 스타 그램 본 죽 건대 hot congee dinner meal,0
nikluge-au-2022-train-000228,초코 롱,0
nikluge-au-2022-train-000229,투썸 신상 초코 초코 롱,0
nikluge-au-2022-train-000230,마카롱 위 초코 싹 씌 어 있다,0
nikluge-au-2022-train-000231,초코 마카롱 덕후 늘다 짱 이다,0
nikluge-au-2022-train-000232,야식 얼 크다 김치 수제비,0
nikluge-au-2022-train-000233,찌다 이 놀다 오다 고마 웅,1
nikluge-au-2022-train-000234,아메리칸 어 패럴 aakorea aaselfie 마가린 핑거스 미스 치프 mschf 미스 치프 걸 자라,0
nikluge-au-2022-train-000235,에어 프라이어 구 울다 아주 고 편하다 집 막창 먹다 수 있다,0
nikluge-au-2022-train-000236,180 도 10분 뒤지다 10분 정도,0
nikluge-au-2022-train-000237,막창 자체 담백하다 쫄깃해 넘다 만족하다,0
nikluge-au-2022-train-000238,돼지 막창 구 운막창 막창 막창구이 onlineaccount,0
nikluge-au-2022-train-000239,이쁘다 짓 골 하다,0
nikluge-au-2022-train-000240,제발 매드 맥스 좀 보다,0
nikluge-au-2022-train-000241,가다 멋있다 보이다 적다 처음 이 쟈,0
nikluge-au-2022-train-000242,악의 연대기 보지 말다 고요,0
nikluge-au-2022-train-000243,마르다,0
nikluge-au-2022-train-000244,수입 과자,0
nikluge-au-2022-train-000245,폭풍 흡입 하다 하다,0
nikluge-au-2022-train-000246,딸 래미 들 머리 늘 산발 만들다 애 밉다,0
nikluge-au-2022-train-000247,책보 따르다 해도 모양 안 나오다,0
nikluge-au-2022-train-000248,동생 언니 얼굴 극 혐 좀 가다 보다,1
nikluge-au-2022-train-000249,애 들 빙고게임 이기다 돈 주다 애 들 매점 가다 사오다,0
nikluge-au-2022-train-000250,하나 하나 뜯다 전자렌지 돌리다 온 따스하다,0
nikluge-au-2022-train-000251,이 걸 어떻다 돈 받다 파다 싶다 정도 정말 드럽다 맛 없다,1
nikluge-au-2022-train-000252,놀멍 걸다 멍쉬멍,0
nikluge-au-2022-train-000253,서귀포 맛집 법환동 맛집 법환 맛집 제주도 맛집 제주 맛집 제주도 제주 제주도 여행 제주 여행,0
nikluge-au-2022-train-000254,여행 미치다,0
nikluge-au-2022-train-000255,이제 다이어트 해 보다 요,0
nikluge-au-2022-train-000256,밀면 먹다 스타 그램 수 타 킹손 짜장,0
nikluge-au-2022-train-000257,푸드코트 뉴욕 버거 처음 보다 거 같다 핫도그 더블 치즈 프라이 시키다 옛날 한창 많이 먹다 아이리시 포테이토 생각나다 따뜻하다 그 맛,0
nikluge-au-2022-train-000258,갓 튀기다 나오다 따뜻하다 감 튀다 물론 저 하얗다 소스 치즈 인지 진짜 너무 자다 어울리다 눈물나다 뻔,0
nikluge-au-2022-train-000259,소리바다,0
nikluge-au-2022-train-000260,방 나타나다,0
nikluge-au-2022-train-000261,어제 먹다 소스 맛있다 밥 넣다 리조또 만들다 먹기,0
nikluge-au-2022-train-000262,저런 x 들다 빨리 Digimon 좋다,1
nikluge-au-2022-train-000263,기다리다 보람,0
nikluge-au-2022-train-000264,얼그레이 짱짱,0
nikluge-au-2022-train-000265,초코우유 달다 구리,0
nikluge-au-2022-train-000266,이마트 빵,0
nikluge-au-2022-train-000267,삼 송 갈비 돼지갈비 갈비 기 스타 그램,0
nikluge-au-2022-train-000268,초코 칩 쿠키 우유 달다 구리 쿠키,0
nikluge-au-2022-train-000269,littleparadise 작다 천국 치즈 왕 돈까스 돈까스,0
nikluge-au-2022-train-000270,삼계탕 저녁 중복 닭,0
nikluge-au-2022-train-000271,물 갈비 홍 갈비 육회 돼지 물 갈비 갈비 물 갈비,0
nikluge-au-2022-train-000272,치즈스틱 치즈,0
nikluge-au-2022-train-000273,튀김 고구마 튀김 오징어 튀김 김말이 튀김,0
nikluge-au-2022-train-000274,과일 샐러드 샐러드 과일 채소,0
nikluge-au-2022-train-000275,돈까스 김밥 김밥 돈까스,0
nikluge-au-2022-train-000276,오이 싫다 빼다 안 비밀,0
nikluge-au-2022-train-000277,햄버거 새우 버거 감자 튀김,0
nikluge-au-2022-train-000278,순대 분식,0
nikluge-au-2022-train-000279,불향 쭈꾸미 볶음 쭈꾸미 비빔밥 쭈꾸미 볶음,0
nikluge-au-2022-train-000280,buonapizza 연어 파스타 크림 파스타,0
nikluge-au-2022-train-000281,김밥 참치 김밥 분식 점심,0
nikluge-au-2022-train-000282,베트남 쌀국수 쌀국수 저녁,0
nikluge-au-2022-train-000283,덕취 원 탕수육 중국집 점심,0
nikluge-au-2022-train-000284,국물 닭발 계란찜 닭발,0
nikluge-au-2022-train-000285,민트 초코 프라 페 초코 프라 페달 다 구리,0
nikluge-au-2022-train-000286,곱창 곱하기 소금 막창막창 저녁,0
nikluge-au-2022-train-000287,모노 끼 매콤 돈까스 냉 모밀 스페셜 세트 저녁,0
nikluge-au-2022-train-000288,빵 디저트 팥빵,0
nikluge-au-2022-train-000289,라씨 인 음료 달다 구리,0
nikluge-au-2022-train-000290,소풍 치즈 김밥 치즈 라볶이 분식,0
nikluge-au-2022-train-000291,야식 만두 군 만두,0
nikluge-au-2022-train-000292,추석 떡갈비 집밥,0
nikluge-au-2022-train-000293,순 대 군것질 꿀맛,0
nikluge-au-2022-train-000294,에그타르트 디저트 간식,0
nikluge-au-2022-train-000295,메론 빵빵,0
nikluge-au-2022-train-000296,자이언트 떡볶이 편의점 떡볶이,0
nikluge-au-2022-train-000297,과일 메론 디저트,0
nikluge-au-2022-train-000298,닭볶음탕 닭 점심,0
nikluge-au-2022-train-000299,저녁 막창밥,0
nikluge-au-2022-train-000300,야식 라면 치즈 불닭볶음면 짜파게티,0
nikluge-au-2022-train-000301,커플 세트 떡볶이,0
nikluge-au-2022-train-000302,빼로 니 얼굴 살 실화,1
nikluge-au-2022-train-000303,7시 15분 인데 29 도야,0
nikluge-au-2022-train-000304,늦다 저녁,0
nikluge-au-2022-train-000305,파란하늘,0
nikluge-au-2022-train-000306,맑은 하늘,0
nikluge-au-2022-train-000307,엄마 오심 쓰다,0
nikluge-au-2022-train-000308,비상 걸리다 쓰다,0
nikluge-au-2022-train-000309,기상 인증,0
nikluge-au-2022-train-000310,하 푹 자고 일어나다 새벽 1시,0
nikluge-au-2022-train-000311,가면 일행 늘 이 것 시키다 꼴 보기 싫다,1
nikluge-au-2022-train-000312,너 다 벚꽃 보다,0
nikluge-au-2022-train-000313,나다 놀다 있다,0
nikluge-au-2022-train-000314,양 반 다리 싶다,0
nikluge-au-2022-train-000315,진짜 강 개비 차 개비 수요 없다 공급 공격 당하다,1
nikluge-au-2022-train-000316,오징어짬뽕 사 다가 새우 오징어 듬뿍 넣다 냠냠,0
nikluge-au-2022-train-000317,애 들 해물 칼국수,0
nikluge-au-2022-train-000318,왠지 시집가다 한국 온 베트남 처녀 생기다,1
nikluge-au-2022-train-000319,잘 자다 굿나잇,0
nikluge-au-2022-train-000320,한 녀 살리다,1
nikluge-au-2022-train-000321,서버 터지다 거 아니다 진짜 사기 그래도 아이돌 오타쿠 짬빠 있다 ㄱ 내 오픈 돼다 버너 못 보다 말 안 뎌,1
nikluge-au-2022-train-000322,한 녀 살리다,1
nikluge-au-2022-train-000323,썸네일 저렇다,0
nikluge-au-2022-train-000324,님같으 손 안 씻다 한남 새끼 손깍지 하다 손 내 밀면 깍지 끼 싶다,1
